,,
Nome,,
,Preço de Venda,Estoque
Teste De Gravidees Trust,100,0
 Pilula diaria Microlenyn Microginon,50,0
Pilula diario intimo progestMicroluteo,45,1
Prgesterona Cp200mg Pretgestan 200,185,2
Prgesterona Cp200mg Progen SG 200,300,3
"Colchicina Cp0,5mg Goutnil",157,4
Pilula do dia Seguinte Co-Pill,100,5
Sidenafil Cp 100mg Dzire comprimido,100,5
Sildenafil gell 100mg ,70,9
anti-gripe Cp Naycold Cp,20,20
Danzol Cp200mg,350,2
Clomifeno cp50mg Ovamit,440,1
Glucosamina cp osteogen,200,3
Calcio +vitamina d cp Calgen D,150,3
Paracetamol+Diclofinac Cp Aliviador ,15,20
Paracetamol+Diclofinac Cp Dicloforte,20,18
Paracetamol cp Acemol,10,44
Paracetamol azevedo cp500mg,85,3
Paracetamol azevedo cp1000mg,106,2
Paracetamol+ac teocolqiccido descontran,156,2
Piroxican piroxigen Cp20mg,25,10
Naproxeno Cp500mg,195,5
Rantudil Cp90mg,450,0
Mexazolan Sedoxil Cp1mg,178,4
Domperidona Remotil Cp10mg ,126,0
Acido Tranexamico Pause Cp500mg,165,3
Ibuprofen+Parace+Caffein Ibugen Cp,25,2
Rinialer Cp10mg,360,2
Ibuprofen Brugen Cp400mg,20,4
Ibuprofeno Brugen Cp200mg,15,6
ibuprofeno Azevedo Cp400mg,52,3
Renalof Frasco  de 30 Capsulas,1547,1
Diclofinac Acenac Cp50mg,10,17
Aspirina cp 100mg,105,2
Aspirina gensprin Cp500mg,20,6
Omeprazol genprazol cp20mg,22,16
Omeprazol aceprazol cp 20mg,20,5
Ranitidina Acedine Cp150mg,25,5
Prometazina ACE Cp20mg,20,8
Metoclopramida Metoprix cp10mg,15,3
sulfato de Zinco Cp50mg,45,10
Buscopan cp,70,9
Bisacodil Laxaque cp5mg,15,6
Simeticona Aero-om cp42mg,113,0
Prednisolona prednace injectavel 50mg,300,4
Vitamina B12 injectavel,120,9
Vitamina K fitometadiona cp Lerin,115,12
Vicombil cp,78,0
Malacura suspensao ,55,0
Lumiter 140mg 4/24,180,3
Teste Rapido de Malaria,135,1
Hidroxido de Aluminio Gastrotab Cp500mg,15,10
Clopidogrel Cadnil Cp75mg,60,4
Alopurinol Uriprim Cp100mg,50,3
Diclofinac injrctavel 75mg,22,5
Sinvastatina cp20mg,124,2
Amantadina parkardina cp100mg,231,2
Enalapril Enatec 10 Cp10mg,15,4
Enalapril Enatec 5 Cp5mg,15,4
Co-amilorido Milorex Cp 50+5mg ,200,2
Amilodipina Amlotrix Cp10mg,30,10
Co-Amilorido Aceride H Cp50+5mg,25,10
Amitriptilina Acetrip Cp10mg,15,10
Espironolactona Spirolon Cp 25mg,150,4
Furosemida Frusemix Cp 40mg,15,10
Nifedipina Acecardia Cp30mg,55,10
Carbamazepina Acecarb Cp 200mg,50,4
Atorvastatina Assutor Cp 20mg,30,1
Metformina Formiment Cp 500mg,20,5
Metformina Azevedo Cp 500mg,86,3
Atenolol Azevedo Cp 50mg,164,1
Atenolol Angilong Cp 50mg,30,2
Bisoprolol krka Cp 5mg,184,1
Metildopa Methyldopa Cp 250mg,100,5
Valsartan Tareg Cp 160mg ,620,2
Lisinopril Bluepharma 20mg,170,2
Lisinopril Teuto 10mg ,155,0
Cotrimoxazol Acetrim Cp 480mg,20,17
Aciclovir Genvir Cp 400mg,90,6
Griseofulvina Umifulvina Cp 500mg,105,0
ketoconazol Ace-conazol Cp200mg,55,2
Cinarizina Cinon 75mg,85,1
Piridoxina Beesix Cp 50mg,25,0
Piridoxina +Doxilamina Vomi Cp 10+10mg,87,1
Sal Ferroso Fesate Cp,15,15
Complexo B Ciavita Cp ,15,4
Biolectra Magnesio cp 300mg,,1
Biolectra Magnesio Cp 243mg,74,4
Antibiophilus Cp,660,0
Antibiophilus Saquetas ,57,0
Corenza C Cp Enfervescente,300,1
Suplimax,893,0
Menthossil Menta,15,4
Menthossil Morango,15,4
Menthossil Laranja,15,0
Menthossil Limao,15,4
Vitamina C Gen C Cp 500mg,40,5
Vitamina C cevit ,600,2
Sal Ferroso Orofer cp,41,1
Sal Ferroso+ac ascorb+ac folic Fem-RedxtCp,101,0
Multivitamina Cyproplex Cp,40,13
Panvitol ampolas bebiveis Energy Boost,116,0
Fenoxmetil Pen-G Cp,70,9
Loperamida Loperix Cp20mg,20,3
Betamox Plus Cp1g,551,1
Cefixima Cefiton Cp 400mg,425,6
Cefixima Sefimex Cp 400mg,285,4
Claritromicina Q-clar Cp 500mg,275,6
"Finasterida Bluepharma Cp 0,5mg",387,3
Levofloxacina Floxast Cp500mg,858,1
Losartan potassica Teuto Cp 50mg,99,4
S.R.O Requilyte,15,30
Albendazol Lben Cp 400mg,20,16
Prednisolona Gensone Cp 20mg,70,4
Prednisolona Prednace Cp 5mg,15,12
Clorfineramina Phenirex Cp 4mg,10,21
Salbutamol Salgen Cp 4mg,15,18
Aminofilina Aminogen Cp 100mg,15,5
Fluconazol Ingazole Cp 150mg,20,13
Flucloxacina Dawa Flox Cp 500mg,135,10
Eritromicina  Erinocin Cp 500mg,108,8
Tetraciclina Ae-Cyclina Cp 500mg,55,4
Ciprofloxacina Primecip Cp 500mg  ,60,14
Amoxicilina+Ac. Clavulan Aceclav Cp625mg,185,3
Doxacilina Gendox Cp 100mg,40,2
Metronidazol Top Gyl Cp 250mg,15,4
Amoxicilina amox-500 Cp 500mg,45,16
Nistatina Nygen Ovulo vaginal CP100mg,105,2
Clotrimazol Clotrilin ovulo Vaginal Cp100mg,70,2
Crème Anthemorroidario Pyloocain,115,2
Lidocaina Metacain Gel,210,1
Acido Benzoico Whitfields Pomada,90,2
Tiabendazol Pomada,499,1
Ketoconazol Derm Keta crème,50,3
Iodo Pomada Povinaz Creme ,75,2
Clotrimazol Clotrisan creme,60,0
aciclovir Medinfar Crème ,295,0
Sulfadiazina de Prata Silvadex,75,2
Clobetazol Clobigen Crème,120,1
Acido fusdico Dermicide ,135,2
Hidrocortisona Pomada,85,1
Diclofinac Acenac gel,90,5
dermatrix CG,85,2
Bacitracina  bacisept Pomada,134,1
Balsamo Dorgel,120,3
Tetraciclina Ace-Cyclina Pomada oft,38,4
Cloranfenicol Novofenicol  pomada Oft,30,2
Algodao 50g,55,1
Liga Dura 10cm,20,7
Liga Dura 5cm,12,12
Compressa esteril,15,20
Penso rapudo n+,2,0
Adesivo de zinco,115,1
Oleo de amendoa doce 125ml,308,1
Colirio Teuto,200,4
Ciprofloxacina  gotas oft Novaflox,372,1
Lagrimas artificial Hipromelose Cool Eye,277,1
Oto4 Gotas Auriculares,80,1
Timolol Timate Gotas Oft.,11,2
Lagrimas artificial Hipromelose Cell Vision,95,2
Tobramicina+Dexametasona Tobrason Vision Gotas Oft.,94,2
Ketorolac Ket Vision gotas Oft,105,1
Atropina Atro Visin 1% Gotas Oft.,115,2
NaCl Vision,90,1
Prednisolona Prednol gotas Oft.,115,1
Gentamicina L-genta branco gotas Oft./auricular,90,0
Sabonete Ant-Acne,105,2
Sabonete De Enxofre Sabusol,105,2
Oleoban Sabonete Para Bebe,663,1
Lauroderme Sabonete,651,2
Oleoban Crème Para Adulto,1401,1
Venosmil Crème,1096,1
thrombocid Gel,1331,1
Diclofinac Gel Azevedo,536,1
Acevit xarope,150,4
Aceclav Xarope,350,2
Clorfineramina phenirex Suspensao,97,2
Amoxicilina Genmox Susp 250mg/5ml,105,0
Metronidazol Metrogen susp 200mg/5ml,80,1
Bromovan xarope,75,2
Salbutamol Salburest Susp,95,2
Aqua Maris Nasal Classic,363,2
Aqua Maris Nasal Forte,328,2
Acemol suspensao 125mg/5ml,70,2
Fenoxmetel acepen Suspensao 125mg/5ml,115,0
Cotrimoxazol Acetrim Suspensao,75,3
ibuprofeno acefen Suspensao,75,2
Nistatina Nygen Suspensao,150,2
Azitromicina Azicin Suspensao,75,4
Albendazol Lben Suspensao 200mg/5ml,48,3
Simeticona Aero-om gotas,641,1
Mucolyn Adulto xarope ,186,2
Ambroxol mucoclear Adulto ,137,2
Cefixima Sefimex susp ,365,2
Flucloxacicilina fluclocin suspensao,230,2
Acaribial solucao,412,1
fluidox Xarope ,980,1
Sefixima Neocef suspensao,1350,2
 Renalof Frasco de 90Cps,2281,0
spermotrend capsulas Cp 450mg frasco de 30cps,1597,1
Prudence Lubricante 30g,30,0
Kamassutra Uva,55,1
Prudence preservativo Nice,20,0
Glicose Infusao,120,1
fralda descartaveis Dry Fit 19,55,18
fralda descartaveis Dry Fit 17,50,15
Boiao Estril,75,1
Clotrimazo Candid solucao,60,0
Gastralgine Suspensao ,130,1
Calamina locao ,122,2
Benzil benzoato Benzosol,140,2
Ceftriaxona gencef 1g inj.,105,2
Penicilina Benzatinica 2400.000 UI,90,1
Kanamicina 2g inj.,165,2
Triasinolona trimsro inj.,300,0
Complexo de vitamina B Injectavel ,60,1
Ampicilina inj.,85,10
Gentamicina 80mg inj.,30,20
Neurobion Tribex Inj.,60,1
Seringa de 20cc,15,6
Amilodipina Azevedo Cp10mg,137,1
Tramadol Azevedo Cp 50mg,180,1
betapyn Cp,50,1
Azitromicina Azicin Cp500mg,89,5
Lumiter cp80/480,296,2
Sabonete De Glicerina Glivera ,120,2
Amitriptilina Amizole Cp 25mg,30,1
Hidroclortiazida Hygen,20,7
Atorvastatina azevedo Cp20mg,172,1
Flugen suspensao,88,2
Bioletra calcio cp 500mg,60,8
Griseofulvina Micown Cp 500mg,128,2
Fastrim kit,296,0
sekrol Pediatrico Suspensao 15mg/5ml,267,1
Gripe water Dra Mae,120,
nistatina Teuto Suspensao,415,0
Benelyn + Codeina,512,0
Reumon Gel,634,1
Indometacina Movilon Cp25mg,30,3
Mucolyn Pediatrico xarope ,186,2
Paracetamol+ibuprefeno+Cafeina cp Ace-Fort,25,3
Diclofinac em Capsula 100mg,33,2
Metronidazol Top Gyl susp ,80,0
Frasco de urina Sample,25,0
Clotrimazo Crème Candigen,50,1
Candigen BG,94,3
Vivasol wash intimo,101,2
Clotrimazol Crème Vaginal Da Generic,85,2
Iodo Solucao Povinaz,75,3
Afebryl,350,1
Glibenclamida Daomide Cp5mg,15,10
Cetirizina Gencitrin Cp10mg,25,10
Gastrex cp,15,41
Clindamicina acebact Cp300mg,101,2
Ibuprofeno Espen-400 Cp400mg,20,3
Paracetamol Milzor cp500mg,14,0
Paracetamol Milpol,76,0
Omeprazol Proton Cp20mg,100,4
Amoxicilina Miloxy-500 Cp500mg,49,0
Metronidazol ML-METRO 250 Cp250mg,15,0
Betametasona  Dermosone  Crème ,85,0
Betametasona+Acido Salicilico Dermosone S,79,2
Hidratante Nasal salino 15ml,45,2
Prometazina susp,134,2
Loratadina Loratol Cp10mg,314,1
Coldril Suspensao,238,2
Misoprostol Kontrac Cp200mg,300,9
Vitamina E Evita,155,3
Forache solucao para dente,120,1
Kamasutra Banana,55,1
Kamasutra morango,55,1
Kamasutra Chocolate,55,1
Ibuprofeno Acefen Cp400mg,20,10
Savlon Instalon 50ml,60,
Sildenafil prudence performax DKT cp100mg,100,
Preservativo classic Prudence,20,
Preservativo Sensual Prudence,20,
lubrifcante Gel intimo prudence Morango 100ml,150,
lubrifcante Gel intimo prudence Cloassico 100ml,150,
lubrificante Gel intimo Prudence morango 5ml,30,
